playerID,nameFirst,nameLast,bats
aardsda01,David,Aardsma,R
aaronha01,Hank,Aaron,R
aaronto01,Tommie,Aaron,R
aasedo01,Don,Aase,R
abadan01,Andy,Abad,L
abadfe01,Fernando,Abad,L
abadijo01,John,Abadie,R
abbated01,Ed,Abbaticchio,R
abbeybe01,Bert,Abbey,R
abbeych01,Charlie,Abbey,L
abbotda01,Dan,Abbott,R
abbotfr01,Fred,Abbott,R
abbotgl01,Glenn,Abbott,R
abbotje01,Jeff,Abbott,R
abbotji01,Jim,Abbott,L
abbotku01,Kurt,Abbott,R
abbotky01,Kyle,Abbott,L
abbotod01,Ody,Abbott,L
abbotpa01,Paul,Abbott,R
aberal01,Al,Aber,L
abercda01,Frank,Abercrombie,
abercre01,Reggie,Abercrombie,R
abernbi01,Bill,Abernathie,R
abernbr01,Brent,Abernathy,R
abernte01,Ted,Abernathy,R
abernte02,Ted,Abernathy,R
abernwo01,Woody,Abernathy,L
aberscl01,Cliff,Aberson,R
ablesha01,Harry,Ables,R
abnersh01,Shawn,Abner,R
abramca01,Cal,Abrams,L
abramge01,George,Abrams,R
abregjo01,Johnny,Abrego,R
abreual01,Albert,Abreu,R
abreubo01,Bobby,Abreu,L
abreubr01,Bryan,Abreu,R
abreujo01,Joe,Abreu,R
abreujo02,Jose,Abreu,R
abreuju01,Juan,Abreu,R
abreuto01,Tony,Abreu,B
abreuwi01,Winston,Abreu,R
abstebi01,Bill,Abstein,R
accarje01,Jeremy,Accardo,R
aceveal01,Alfredo,Aceves,R
acevejo01,Jose,Acevedo,R
aceveju01,Juan,Acevedo,R
achteaj01,A. J.,Achter,R
ackerji01,Jim,Acker,R
ackerto01,Tom,Acker,R
ackledu01,Dustin,Ackley,L
acklefr01,Fritz,Ackley,L
acostcy01,Cy,Acosta,R
acosted01,Ed,Acosta,B
acostjo01,Jose,Acosta,R
acostma01,Manny,Acosta,R
acostme01,Merito,Acosta,L
acrema01,Mark,Acre,R
actama99,Manny,Acta,R
acunaro01,Ronald,Acuna,R
adairbi99,Bill,Adair,R
adairje01,Jerry,Adair,R
adairji01,Jimmy,Adair,R
adamecr01,Cristhian,Adames,B
adamewi01,Willy,Adames,R
adamja01,Jason,Adam,R
adamsac01,Ace,Adams,R
adamsau01,Austin,Adams,R
adamsau02,Austin,Adams,R
adamsba01,Babe,Adams,L
adamsbe01,Bert,Adams,B
adamsbo01,Bob,Adams,R
adamsbo02,Bob,Adams,R
adamsbo03,Bobby,Adams,R
adamsbo04,Bob,Adams,R
adamsbu01,Buster,Adams,R
adamsch01,Chance,Adams,R
adamsda01,Dan,Adams,R
adamsda02,David,Adams,R
adamsdi01,Dick,Adams,R
adamsdo01,Doug,Adams,L
adamsge01,George,Adams,R
adamsgl01,Glenn,Adams,L
adamshe01,Herb,Adams,L
adamsji01,Jim,Adams,
adamsjo01,Joe,Adams,R
adamsjo02,Joel,Adamson,L
adamska01,Karl,Adams,R
adamsla01,Lane,Adams,R
adamsma01,Matt,Adams,L
adamsmi01,Mike,Adamson,R
adamsmi02,Mike,Adams,R
adamsmi03,Mike,Adams,R
adamsre01,Red,Adams,R
adamsri01,Rick,Adams,L
adamsri02,Ricky,Adams,R
adamsru01,Russ,Adams,L
adamsry01,Ryan,Adams,R
adamssp01,Sparky,Adams,R
adamssp02,Spencer,Adams,L
adamste01,Terry,Adams,R
adamswi01,Willie,Adams,R
adamswi02,Willie,Adams,R
adcocjo01,Joe,Adcock,R
adcocna01,Nathan,Adcock,R
addisbo01,Bob,Addis,L
adducji01,Jim,Adduci,L
adducji02,Jim,Adduci,L
addybo01,Bob,Addy,L
adelljo01,Jo,Adell,R
adenhni01,Nick,Adenhart,R
aderhmo01,Morrie,Aderholt,L
adkinde01,Dewey,Adkins,R
adkindi01,Dick,Adkins,R
adkindo01,Doc,Adkins,R
adkingr01,Grady,Adkins,R
adkinhe01,Harry,Atkinson,
adkinjo01,Jon,Adkins,L
adkinst01,Steve,Adkins,R
adlemti01,Tim,Adleman,R
adlesda01,Dave,Adlesh,R
adriaeh01,Ehire,Adrianza,B
afenitr01,Troy,Afenir,R
affelje01,Jeremy,Affeldt,L
agbaybe01,Benny,Agbayani,R
ageeto01,Tommie,Agee,R
agganha01,Harry,Agganis,L
aglerjo01,Joe,Agler,L
agnewsa01,Sam,Agnew,R
agostju01,Juan,Agosto,L
agrazda01,Dario,Agrazal,R
aguaylu01,Luis,Aguayo,R
aguilch01,Chris,Aguila,R
aguilje01,Jesus,Aguilar,R
aguilri01,Rick,Aguilera,R
aguirha01,Hank,Aguirre,R
ahearch01,Bill,Ahearn,
ahearpa01,Pat,Ahearne,R
ahmedni01,Nick,Ahmed,R
aikenwi01,Willie,Aikens,L
aingeda01,Danny,Ainge,R
ainsmed01,Eddie,Ainsmith,R
ainswku01,Kurt,Ainsworth,R
aitchra01,Raleigh,Aitchison,R
aitonge01,George,Aiton,B
akejo01,John,Ake,R
akerfda01,Darrel,Akerfelds,R
akerja01,Jack,Aker,R
akersbi01,Bill,Akers,R
akersje01,Jerry,Akers,R
akinke01,Keegan,Akin,L
akiyash01,Shogo,Akiyama,L
alanirj01,R. J.,Alaniz,R
albagi01,Gibson,Alba,L
albaljo01,Jonathan,Albaladejo,R
albanjo01,Joe,Albanese,R
alberan01,Andrew,Albers,R
alberbu01,Butch,Alberts,R
albercy01,Cy,Alberts,R
albergu01,Gus,Alberts,R
alberha01,Hanser,Alberto,R
alberjo01,Jose,Alberro,R
alberma01,Matt,Albers,L
albieoz01,Ozzie,Albies,B
albosed01,Ed,Albosta,R
albreed01,Ed,Albrecht,R
albrija01,Jack,Albright,R
albural01,Al,Alburquerque,R
alburvi01,Vic,Albury,L
alcaljo01,Jorge,Alcala,R
alcalsa01,Santo,Alcala,R
alcanar01,Arismendy,Alcantara,B
alcanis01,Israel,Alcantara,R
alcanra01,Raul,Alcantara,R
alcansa01,Sandy,Alcantara,R
alcanse01,Sergio,Alcantara,B
alcanvi01,Victor,Alcantara,R
alcarlu01,Luis,Alcaraz,R
alcocsc01,Scotty,Alcock,R
alderda01,Dale,Alderson,R
aldremi01,Mike,Aldrete,L
aldresc01,Scott,Aldred,L
aldrico01,Cory,Aldridge,L
aldrija01,Jay,Aldrich,R
aldrivi01,Vic,Aldridge,R
alenoch01,Chuck,Aleno,R
alexabo01,Bob,Alexander,R
alexada01,Dale,Alexander,R
alexado01,Doyle,Alexander,R
alexaga01,Gary,Alexander,R
alexage01,Gerald,Alexander,R
alexahu01,Hugh,Alexander,R
alexama01,Matt,Alexander,B
alexama02,Manny,Alexander,R
alexani01,Nin,Alexander,R
alexape01,Pete,Alexander,R
alexasc01,Scott,Alexander,L
alexaty01,Tyler,Alexander,R
alexawa01,Walt,Alexander,R
alfarja01,Jason,Alfaro,R
alfarjo01,Jorge,Alfaro,R
alfonan01,Antonio,Alfonseca,R
alfoned01,Edgardo,Alfonzo,R
alfonel01,Eliezer,Alfonzo,R
alforan01,Anthony,Alford,R
alicelu01,Luis,Alicea,B
allanan01,Andy,Allanson,R
allarbr01,Brian,Allard,R
allarko01,Kolby,Allard,L
allenau01,Austin,Allen,L
allenbe01,Bernie,Allen,L
allenbo01,Bob,Allen,R
allenbo02,Bob,Allen,R
allenbo03,Bob,Allen,R
allenbo04,Bob,Allen,L
allenbr01,Brandon,Allen,L
allench01,Chad,Allen,R
allenco01,Cody,Allen,R
allendi01,Dick,Allen,R
allendu01,Dusty,Allen,R
allenet01,Ethan,Allen,R
allenfr01,Frank,Allen,R
allenga01,Gary,Allenson,R
allengr01,Greg,Allen,B
allenha01,Ham,Allen,
allenha02,Hank,Allen,R
allenhe01,Hezekiah,Allen,
allenho01,Horace,Allen,L
allenja01,Jack,Allen,R
allenja02,Jamie,Allen,R
allenje01,Jermaine,Allensworth,R
allenjo01,John,Allen,R
allenjo02,Johnny,Allen,R
allenki01,Kim,Allen,R
allenll01,Lloyd,Allen,R
allenlo01,Logan,Allen,R
allenlu01,Luke,Allen,L
allenmy01,Myron,Allen,R
allenne01,Neil,Allen,R
allenni01,Nick,Allen,R
allenpe01,Pete,Allen,R
allenro01,Ron,Allen,B
allenro02,Rod,Allen,R
allensl01,Sled,Allen,R
alleyge01,Gene,Alley,R
alliebo01,Bob,Allietta,R
alliega01,Gair,Allie,R
allisan01,Andy,Allison,
allisar01,Art,Allison,
allisbi01,Bill,Allison,
allisbo01,Bob,Allison,R
allisda01,Dana,Allison,R
allisdo01,Doug,Allison,R
allisma01,Mack,Allison,R
allismi01,Milo,Allison,L
allrebe01,Beau,Allred,L
almadme01,Mel,Almada,L
almanar01,Armando,Almanza,L
almanca01,Carlos,Almanzar,R
almeira01,Rafael,Almeida,R
almonab01,Abraham,Almonte,B
almonbi01,Bill,Almon,R
almoned01,Edwin,Almonte,R
almoner01,Erick,Almonte,R
almonhe01,Hector,Almonte,R
almonmi01,Miguel,Almonte,R
almonye01,Yency,Almonte,B
almonzo01,Zoilo,Almonte,B
almoral01,Albert,Almora,R
alomalu01,Luis,Aloma,R
alomaro01,Roberto,Alomar,B
alomasa01,Sandy,Alomar,B
alomasa02,Sandy,Alomar,R
alonspe01,Pete,Alonso,R
alonsyo01,Yonder,Alonso,L
aloufe01,Felipe,Alou,R
alouje01,Jesus,Alou,R
alouma01,Matty,Alou,L
aloumo01,Moises,Alou,R
alperwh01,Whitey,Alpermann,R
alstode01,Dell,Alston,L
alstoga01,Garvin,Alston,R
alstoto01,Tom,Alston,L
alstowa01,Walter,Alston,R
altampo01,Porfi,Altamirano,R
altavda01,Dan,Altavilla,R
altener01,Ernie,Alten,R
altenje01,Jesse,Altenburg,L
altheaa01,Aaron,Altherr,R
altizda01,Dave,Altizer,L
altmage01,George,Altman,L
altobjo01,Joe,Altobelli,L
altroni01,Nick,Altrock,B
altuvjo01,Jose,Altuve,R
alusige01,George,Alusik,R
alvarab01,Abe,Alvarez,L
alvarcl01,Clemente,Alvarez,R
alvarda01,Dario,Alvarez,L
alvarda02,Dariel,Alvarez,R
alvared01,Eddy,Alvarez,B
alvarga01,Gabe,Alvarez,R
alvarhe01,Henderson,Alvarez,R
alvarjo01,Jose,Alvarez,R
alvarjo02,Jose,Alvarez,L
alvarjo03,Jose,Alvarado,L
alvarju01,Juan,Alvarez,L
alvarlu01,Luis,Alvarado,R
alvaror01,Orlando,Alvarez,R
alvaros01,Ossie,Alvarez,R
alvarpe01,Pedro,Alvarez,L
alvarrj01,R. J.,Alvarez,R
alvarro01,Rogelio,Alvarez,R
alvarta01,Tavo,Alvarez,R
alvarto01,Tony,Alvarez,R
alvarvi01,Victor,Alvarez,L
alvarwi01,Wilson,Alvarez,L
alvaryo01,Yordan,Alvarez,L
alvisma01,Max,Alvis,R
alvorbi01,Billy,Alvord,R
alyeabr01,Brant,Alyea,R
alzolad01,Adbert,Alzolay,R
amalfjo01,Joey,Amalfitano,R
amarari01,Rich,Amaral,R
amarial01,Alexi,Amarista,L
amaroru01,Ruben,Amaro,R
amaroru02,Ruben,Amaro,B
amblewa01,Wayne,Ambler,R
